,sigma,alpha,phi,LV,LJV
2008-01-02,0.23485402994035248,16.590315855313257,97.02081141449115,0.01114247806449136,0.10555793700376755
2008-01-03,0.2175568345742822,17.53723821970639,98.50730179245599,0.0100483282901339,0.10024135020107171
2008-01-04,0.24075898328967416,16.38948442379392,97.72521188733066,0.011301191090457248,0.10630706039796815
2008-01-07,0.24588016969037593,16.235875652101463,98.64041750185174,0.011412988540531544,0.10683158961904266
2008-01-08,0.2360322361583476,17.57539049424356,113.26283902355979,0.009395072717608925,0.09692818329881626
2008-01-09,0.24891098880290052,16.71454401780035,108.3891554223139,0.01037559779107077,0.10186067833600349
2008-01-10,0.25122636229461653,16.50668029925389,106.17979680526848,0.010640820350664807,0.10315435206846489
2008-01-11,0.249931710009373,17.059479663425126,114.2085039909764,0.009647840849769166,0.09822342312182551
2008-01-14,0.24524449504598989,17.215203819769503,113.75125935809005,0.009595816009674891,0.09795823604820011
2008-01-15,0.26394298633797214,16.6603551081667,116.12492623227348,0.009687866700380063,0.09842696124731304
2008-01-16,0.2700735037456191,16.028243962707457,107.63464237114854,0.010527365888240521,0.10260295262925195
2008-01-17,0.27199878493979374,16.149797755284922,111.06235932186429,0.010202188126529134,0.10100588164324459
2008-01-18,0.274872365972592,16.10337230863553,110.80967691238676,0.01005201318296264,0.10025972862003288
2008-01-21,0.34029146712794206,13.154523666592276,87.25379532322285,0.014068744691475506,0.1186117392650302
2008-01-22,0.3823001589219931,9.034144764659837,45.34267417662285,0.041656088516681,0.2040982325172881
2008-01-23,0.3620276694676215,11.975427924869827,80.23466042057801,0.018737618422817907,0.1368854207825578
2008-01-24,0.3305304939155668,12.327549699248726,76.54654040427833,0.019247368567698344,0.13873488590725241
2008-01-25,0.28792310741046157,14.383469457628355,90.37097972579758,0.013735210292815903,0.11719731350511368
2008-01-28,0.3115353096015978,13.201215510398042,83.5884464159669,0.016723279444141245,0.12931851933942504
2008-01-29,0.29380311633388356,13.802183138101784,85.17542615086555,0.015441596113271868,0.12426421895812112
2008-01-30,0.30097131467822075,13.439098144641362,82.96098595478578,0.016394863814907318,0.12804242974462535
2008-01-31,0.281884611584694,14.369219093009,88.35122354921852,0.014235163362181006,0.1193112038418061
2008-02-01,0.26448728612299655,14.954835366380141,88.13407211326052,0.013339920020214856,0.11549857150724789
2008-02-04,0.2597018628734169,15.36258959457481,91.84579558136944,0.01256208726835279,0.11208071764738478
2008-02-05,0.28990494617902957,13.935134143038557,85.587092676477,0.015216443200031552,0.12335494801600604
2008-02-06,0.28764759011999735,14.16767549334124,88.15317724497628,0.01459628106713125,0.12081506970213297
2008-02-07,0.30813590582966616,13.30056309262064,83.90049678526431,0.016555826203689585,0.12866944549382958
2008-02-08,0.30286723621697315,13.371827617900049,82.54326622711194,0.01650857868983226,0.12848571395230002
2008-02-11,0.3105518600666194,13.105311657623309,81.54344258240712,0.017115025998625497,0.1308244090322043
2008-02-12,0.2814388585157229,14.293380604996923,86.44673390104158,0.014390924399432794,0.11996217903753163
2008-02-13,0.27546676258983666,14.851473339380917,92.67993640849112,0.013194830832723579,0.11486875481489114
2008-02-14,0.27681609746706415,14.673845940420117,90.01876240696063,0.013524511061156591,0.11629493136485611
2008-02-15,0.2907781832882588,14.225498825964992,89.8284107865783,0.014154784696454039,0.11897388241313317
2008-02-18,0.26801620500368006,15.392450370947188,97.01460818537008,0.012148958300477462,0.11022231307896538
2008-02-19,0.2719846995792104,15.0601016439076,93.16710978295953,0.012681616611871503,0.11261268406299312
2008-02-20,0.28003503434641763,14.757177210231813,92.92613181511149,0.013148217094956465,0.11466567531286974
2008-02-21,0.2726267402564125,15.237829884462705,96.42965255918693,0.012229330495160663,0.1105863033795807
2008-02-22,0.27663900405320124,15.194216710203314,97.99952429299196,0.012163062898348967,0.11028627701735591
2008-02-25,0.2682234692070249,15.543476022482306,98.82389060339268,0.011700661460692503,0.10816959582383814
2008-02-26,0.2547988991126822,16.151350614028527,100.62954619695572,0.010974870885607028,0.10476101796759626
2008-02-27,0.24979612411624588,16.55826323259513,104.39251823652361,0.010432541798846324,0.10213981495404387
2008-02-28,0.2690197341602064,15.589354609613135,100.2127934595111,0.011583165115227752,0.10762511377567854
2008-02-29,0.2916710514290094,14.319052988988263,91.53011840091249,0.013799327775836444,0.11747054003381632
2008-03-03,0.3024130247779545,13.63271156284948,86.94285901161828,0.01569761486393398,0.12529012277084725
2008-03-04,0.31113435873656275,13.211861156336601,84.02783472053133,0.016790875441736606,0.12957961043982424
2008-03-05,0.28798597917531765,14.353296516879178,92.11056290744416,0.014155390413484226,0.11897642797413371
2008-03-06,0.30350994625949795,13.565663334005905,86.61850382166487,0.015924510340822227,0.12619235452602598
2008-03-07,0.3082023954591565,13.536272009764723,88.23181471422642,0.01578982476601529,0.12565756947361068
2008-03-10,0.31432389752703616,13.351370237062746,87.90966523871741,0.016147136750234083,0.12707138446650404
