,sigma,alpha,phi,LV,LJV,LV10,LJV10
2008-01-02,0.23711381906065637,16.243909187993452,89.48117299656622,0.011242259337071249,0.1060295210640473,0.0038871514272924845,0.062347024205590476
2008-01-03,0.23021657416822527,16.76724830354389,91.74865883643227,0.010428832115513023,0.10212165350949338,0.00359409086214342,0.05995073696080324
2008-01-04,0.24608712971020824,15.965719064072424,89.51177377993743,0.011311883488560418,0.10635733866809764,0.0037953637166038964,0.061606523328328604
2008-01-07,0.24208190227918122,16.470098805422822,100.10577282582014,0.011128610137064008,0.10549222785145837,0.0036501438544665863,0.06041642040427905
2008-01-08,0.2594306857565127,15.871795577303804,100.30266407348905,0.011511414035642044,0.10729125796467318,0.0035877243315468746,0.05989761540785138
2008-01-09,0.24530146255620688,16.39911746408222,103.2312237345388,0.011378650126144934,0.10667075572126099,0.003680592615843458,0.0606678878472249
2008-01-10,0.2392370123504654,17.560141728812365,121.35847814011012,0.00977124178036195,0.09884959170559052,0.0029472501783209416,0.0542885823937312
2008-01-11,0.24156404468850567,17.95401371784139,120.57247199294777,0.00834742331603544,0.0913642343372692,0.00238642442745823,0.0488510432586473
2008-01-14,0.2318817817941747,18.575192583720238,125.66562551034778,0.008003569860922969,0.08946267300345417,0.0023151823043556802,0.04811634134424271
2008-01-15,0.2375403192521895,18.79501604862743,128.46672618478547,0.007154914837937595,0.08458672967988297,0.0019448945553452246,0.044100958666963515
2008-01-16,0.24739606428632796,18.075485500156464,130.07936954612683,0.008107594136154216,0.0900421797612331,0.002197554108108452,0.046878077052162154
2008-01-17,0.28795000141539606,15.503749082167417,106.73337402251258,0.010592685201460525,0.10292077147719271,0.0028796786868109333,0.0536626377176051
2008-01-18,0.27613664340785754,15.737698635462344,111.68812300808005,0.011418416205303596,0.10685698950140601,0.00325317497563326,0.05703661083578915
2008-01-22,0.3218534262257872,12.832798312833676,85.76331253797821,0.018478779918574356,0.1359366761347884,0.005730717974708414,0.07570150576249071
2008-01-23,0.30111227562672815,13.243324267085823,79.76517622115549,0.017050300105198556,0.13057679772914696,0.0055910949474380755,0.07477362467767679
2008-01-24,0.2893105854292801,13.74623036410701,84.92631183572303,0.01633887371172294,0.12782360389115519,0.00538043387892198,0.07335144087829482
2008-01-25,0.30076157021056243,13.509560157197853,83.25769719486787,0.016017871221810316,0.12656172889863,0.00509992638420052,0.07141376886987914
2008-01-28,0.2746387670561102,14.52724394687198,89.11106329806077,0.014413330770968284,0.12005553202984144,0.00472266595412673,0.06872165564162966
2008-01-29,0.26728688990490607,15.004611180767675,93.61749264685413,0.013571312287989929,0.11649597541541909,0.004410806677487549,0.0664139042481885
2008-01-30,0.27026497538767835,14.981749197827538,99.24321122139904,0.014120056692271876,0.11882784476826917,0.004520581790933718,0.06723527192578102
2008-01-31,0.2577285873566237,15.437298972246467,98.29622221786812,0.013338556120537871,0.11549266695568974,0.004389502648947081,0.06625332179556796
